run,pre_arta_defect,post_arta_defect,zk_status,pre_rta_dist,post_rta_dist,langlands_loss,total_loss,zk_time
1,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,0
2,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,0
3,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,0
4,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,0
5,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,0
6,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,0
7,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,0
8,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,0
9,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,0
10,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,0
